,City,Lat,Long,Country,Max Temp,Humidity,Cloud Cover %,Wind Speed,Dates
153,Hasaki,35.7333,140.8333,JP,32.4,48,100,8.75,1643405300
154,Cape Town,-33.9258,18.4232,ZA,68.27,71,0,8.01,1643405226
155,Saldanha,-33.0117,17.9442,ZA,64.45,80,0,23.49,1643405301
156,Faanui,-16.4833,-151.75,PF,81.41,74,12,17.85,1643405301
157,Ouro Sogui,15.6064,-13.3211,SN,86.0,23,0,2.3,1643405301
158,Inuvik,68.3499,-133.7218,CA,-17.54,76,20,3.44,1643405138
159,Sungai Raya,0.7,108.9,ID,76.35,87,100,3.71,1643405302
160,Qaanaaq,77.484,-69.3632,GL,-12.89,62,1,8.43,1643405302
161,Ilebo,-4.3167,20.5833,CD,74.39,81,100,0.47,1643405302
162,Mendeleyevsk,55.9082,52.2905,RU,11.44,95,100,6.08,1643405303
163,Karratha,-20.7377,116.8463,AU,78.62,73,29,10.2,1643405303
164,Ostrovnoy,68.0531,39.5131,RU,10.29,94,88,9.06,1643405303
165,Liverpool,53.4106,-2.9779,GB,52.29,86,40,3.0,1643404704
166,Westport,41.1415,-73.3579,US,33.75,76,100,1.01,1643405101
167,La Ronge,55.1001,-105.2842,CA,8.85,72,100,10.36,1643405304
168,Bambous Virieux,-20.3428,57.7575,MU,79.05,89,40,2.3,1643405304
169,São Félix do Xingu,-6.6447,-51.995,BR,74.68,96,99,1.05,1643405305
170,Yairipok,24.6667,94.0667,IN,41.02,91,0,1.66,1643405305
171,Khovd,48.0056,91.6419,MN,-10.93,76,14,5.66,1643405305
172,Kudahuvadhoo,2.6708,72.8944,MV,80.13,61,27,9.57,1643405305
173,Betanzos,43.2804,-8.2147,ES,48.09,77,0,2.3,1643405306
174,New Norfolk,-42.7826,147.0587,AU,63.91,66,96,1.99,1643405249
175,Santa Maria,-29.6842,-53.8069,BR,78.1,53,20,12.66,1643405145
176,Portland,45.5234,-122.6762,US,51.62,52,20,1.99,1643404781
177,Manzhouli,49.6,117.4333,CN,-6.09,86,10,10.67,1643405306
178,Daru,-9.0763,143.2092,PG,77.29,88,100,6.85,1643405307
179,Esperance,-33.8667,121.9,AU,58.84,84,0,12.17,1643405307
180,Iglino,54.8324,56.4126,RU,3.29,96,100,2.51,1643405307
181,Salalah,17.0151,54.0924,OM,71.69,73,0,4.61,1643405308
182,Srednekolymsk,67.45,153.6833,RU,-13.02,95,100,2.89,1643405200
183,Bunda,-2.05,33.8667,TZ,67.93,76,72,3.87,1643405368
184,Bengkulu,-3.8004,102.2655,ID,76.48,86,100,2.66,1643405368
185,Geraldton,-28.7667,114.6,AU,70.21,78,0,8.05,1643405369
186,Moyale,3.5167,39.0584,KE,73.2,27,9,8.86,1643405248
187,Mauá,-23.6678,-46.4614,BR,71.1,94,100,8.48,1643405369
188,Calabozo,8.9242,-67.4293,VE,93.92,28,30,10.94,1643405369
189,Kuching,1.55,110.3333,MY,75.42,100,40,2.3,1643405370
190,Atherton,53.5237,-2.4935,GB,52.16,83,100,8.99,1643405370
191,Sennar,13.5691,33.5672,SD,70.18,19,4,15.97,1643405370
192,Rochester,43.1548,-77.6156,US,15.55,78,75,1.01,1643405256
193,Noumea,-22.2763,166.4572,NC,80.01,99,100,12.19,1643405371
194,Rapid Valley,44.0625,-103.1463,US,54.37,21,0,1.01,1643405371
195,Vermilion,40.1667,-87.7506,US,25.39,60,40,11.01,1643405371
196,Bambanglipuro,-7.95,110.2833,ID,75.13,87,91,3.36,1643405371
197,Matamoros,25.5333,-103.25,MX,57.31,62,100,9.22,1643405111
198,Ikalamavony,-21.15,46.5833,MG,65.84,86,8,4.99,1643405372
199,Kavieng,-2.5744,150.7967,PG,81.79,78,98,6.46,1643405372
200,Lesosibirsk,58.2358,92.4828,RU,-2.22,99,100,3.6,1643405373
201,Athabasca,54.7169,-113.2854,CA,37.09,66,88,12.8,1643405373
202,Pisco,-13.7,-76.2167,PE,77.05,61,0,19.57,1643405373
203,Rawson,-43.3002,-65.1023,AR,74.32,61,8,15.48,1643405373
204,Havelock,34.8791,-76.9013,US,46.63,84,100,10.36,1643405374
205,Bonavista,48.6499,-53.1147,CA,27.12,68,100,14.9,1643405374
206,Bandarbeyla,9.4942,50.8122,SO,74.7,74,70,21.39,1643405374
207,Mangan,27.5167,88.5333,IN,47.14,32,1,6.8,1643405375
208,Cayenne,4.9333,-52.3333,GF,77.09,86,100,5.75,1643405375
209,Pevek,69.7008,170.3133,RU,-17.61,100,32,2.04,1643405328
210,Sechura,-5.5569,-80.8222,PE,78.31,65,66,16.35,1643405075
211,Tuktoyaktuk,69.4541,-133.0374,CA,-18.4,69,20,14.97,1643405376
212,Deputatsky,69.3,139.9,RU,-26.09,99,99,2.46,1643405376
213,Moerai,-22.4333,-151.3333,PF,79.56,78,13,13.13,1643405376
214,Humaitá,-7.5061,-63.0208,BR,77.86,94,100,2.82,1643405376
215,La Roda,39.2167,-2.15,ES,44.91,41,0,6.15,1643405377
216,Coihueco,-36.6167,-71.8333,CL,74.14,50,0,10.36,1643405377
217,Cidreira,-30.1811,-50.2056,BR,72.93,61,76,12.39,1643405127
218,Tuatapere,-46.1333,167.6833,NZ,61.83,61,99,4.65,1643405377
219,Merrill,45.1805,-89.6835,US,12.97,55,100,9.22,1643405079
220,Danshui,22.7984,114.4672,CN,66.07,82,85,2.04,1643405378
221,Giohar,2.7809,45.5005,SO,73.38,79,16,12.86,1643405378
222,Samagaltay,50.6022,95.0047,RU,-18.04,96,52,2.17,1643405378
223,Salamanca,40.8333,-6.0,ES,37.99,46,0,9.06,1643404736
224,Suntar,62.1444,117.6319,RU,-10.98,95,31,6.4,1643405379
225,Upernavik,72.7868,-56.1549,GL,1.2,62,100,9.69,1643405336
226,Berdigestyakh,62.0989,126.6992,RU,-11.81,97,98,7.18,1643405379
227,Chul'man,56.8479,124.9104,RU,-4.05,92,100,13.51,1643405379
228,Meulaboh,4.1363,96.1285,ID,79.02,86,80,2.35,1643405380
229,Luganville,-15.5333,167.1667,VU,78.71,90,100,10.22,1643405440
230,Makakilo City,21.3469,-158.0858,US,77.61,60,40,10.36,1643405241
231,East London,-33.0153,27.9116,ZA,70.36,78,58,10.98,1643405218
232,Kiunga,-6.1219,141.2906,PG,72.27,98,100,1.61,1643405440
233,Bowen,-20.0167,148.2333,AU,75.42,77,30,15.52,1643405441
234,Padang,-0.9492,100.3543,ID,76.77,85,88,4.34,1643405441
235,Iqaluit,63.7506,-68.5145,CA,-15.07,76,100,14.97,1643405442
236,Forsytheganj,52.6333,29.7333,BY,32.5,98,100,11.92,1643405442
237,Tessalit,20.1986,1.0114,ML,65.86,15,5,10.83,1643405442
238,Mineiros,-17.5694,-52.5511,BR,70.5,92,91,5.53,1643405443
239,Vanavara,60.34,102.2797,RU,-14.44,100,96,3.33,1643405443
240,Nantucket,41.2835,-70.0995,US,35.71,77,100,3.69,1643405212
241,Lānja,16.85,73.55,IN,66.49,42,4,6.15,1643405443
242,Yaan,7.3833,8.5667,NG,82.36,18,99,7.78,1643405444
243,Vágur,61.4732,-6.8119,FO,45.03,94,100,17.63,1643405444
244,Maguling,6.095,124.4033,PH,77.18,83,79,2.89,1643405444
245,Góra Kalwaria,51.9765,21.2154,PL,35.94,77,90,17.96,1643405445
246,Pangnirtung,66.1451,-65.7125,CA,-11.2,77,100,2.3,1643405445
247,Dingzhou,38.5131,114.9956,CN,17.71,63,65,0.96,1643405445
248,Rensvik,63.1,7.8167,NO,42.46,75,40,11.5,1643405446
249,Ust-Nera,64.5667,143.2,RU,-10.14,97,100,1.92,1643405446
250,Burnie,-41.0667,145.9167,AU,65.95,80,15,8.05,1643405446
251,Vuktyl,63.8567,57.3094,RU,4.42,93,100,8.68,1643405447
252,Porto Velho,-8.7619,-63.9039,BR,82.45,83,20,6.91,1643405447
253,Eston,51.1501,-108.7514,CA,35.49,81,59,7.36,1643405447
254,Zhigansk,66.7697,123.3711,RU,-11.45,96,90,17.18,1643405448
255,Yangi Marg`ilon,40.4272,71.7189,UZ,36.32,41,100,4.61,1643405448
256,Bashtanka,47.4072,32.4387,UA,32.27,94,100,13.67,1643405448
257,Chupa,66.27,33.0549,RU,9.79,97,100,3.53,1643405449
258,Banda Aceh,5.5577,95.3222,ID,78.42,84,21,5.21,1643405449
259,Ţahţā,26.7693,31.5021,EG,47.26,44,0,6.93,1643405449
260,Talnakh,69.4865,88.3972,RU,1.2,93,100,12.21,1643405450
261,Lorengau,-2.0226,147.2712,PG,81.48,82,100,6.22,1643405402
262,Ponta Delgada,37.7333,-25.6667,PT,58.5,82,40,6.91,1643405450
263,Anadyr,64.75,177.4833,RU,-7.01,83,20,0.0,1643405451
264,Ketchikan,55.3422,-131.6461,US,45.07,93,100,13.8,1643405451
265,Alberton,46.8168,-64.0654,CA,24.93,95,100,3.71,1643405441
266,Mitla,16.9167,-96.4,MX,79.03,59,68,8.63,1643405451
267,Filingué,14.3521,3.3168,NE,71.28,17,5,12.21,1643405452
268,Arica,-18.475,-70.3042,CL,76.55,60,0,10.36,1643405372
269,Trelew,-43.249,-65.3051,AR,80.38,45,7,19.44,1643405398
270,‘Ewa Beach,21.3156,-158.0072,US,79.02,59,40,11.99,1643405452
271,Erdenet,49.0333,104.0833,MN,-7.51,96,100,4.45,1643405453
272,Qingdao,36.0986,120.3719,CN,20.8,86,0,6.71,1643405453
273,Tshikapa,-6.4167,20.8,CD,73.47,85,100,0.81,1643405453
274,Sistranda,63.7256,8.834,NO,37.36,80,100,16.2,1643405454
275,Katherine,-14.4667,132.2667,AU,79.12,89,100,9.22,1643405244
276,Pāsighāt,28.0667,95.3333,IN,49.33,58,0,4.32,1643405454
277,Pochutla,15.7432,-96.4661,MX,87.62,59,48,6.2,1643405515
278,Honiara,-9.4333,159.95,SB,76.59,96,100,7.72,1643405441
279,Quatre Cocos,-20.2078,57.7625,MU,78.91,81,28,9.86,1643405230
280,Ikom,5.9667,8.7063,NG,74.93,30,42,2.57,1643405515
281,Carutapera,-1.195,-46.02,BR,74.68,94,100,9.75,1643405515
282,Mossamedes,-15.1961,12.1522,AO,72.57,82,100,6.22,1643405516
283,Luwingu,-10.2621,29.9271,ZM,62.46,97,100,2.86,1643405516
284,Şırnak,37.5228,42.4594,TR,23.09,92,100,5.46,1643405516
285,Taree,-31.9,152.4667,AU,75.11,83,9,0.0,1643405517
286,Beringovskiy,63.05,179.3167,RU,-3.39,95,99,2.51,1643405517
287,Ahipara,-35.1667,173.1667,NZ,71.1,58,100,11.88,1643405517
288,Saint George,37.1041,-113.5841,US,61.27,17,0,3.0,1643405361
289,Labytnangi,66.6572,66.4183,RU,-5.13,95,99,4.27,1643405518
290,Suez,29.9737,32.5263,EG,50.83,59,23,5.12,1643405518
291,Kadiri,14.1167,78.1667,IN,63.34,90,56,3.78,1643405518
292,Khawhai,23.3667,93.1167,IN,33.01,91,0,2.55,1643405519
293,Sola,-13.8833,167.55,VU,79.57,84,100,20.42,1643405519
294,Hervey Bay,-25.2986,152.8535,AU,77.04,69,41,15.95,1643405519
295,Ishinomaki,38.4167,141.3,JP,32.0,69,7,12.57,1643405520
296,Rafaela,-31.2503,-61.4867,AR,80.98,33,0,3.0,1643405520
297,Balvi,57.1313,27.2658,LV,27.55,87,99,12.33,1643405520
298,Talant,47.3369,5.0089,FR,34.41,93,100,3.44,1643405521
299,Malpe,13.35,74.7167,IN,78.1,77,93,5.1,1643405521
300,El Carmen,8.5106,-73.4478,CO,82.0,41,6,2.8,1643405521
301,Erenhot,43.6475,111.9767,CN,0.45,91,5,6.71,1643405522
302,Port Hardy,50.6996,-127.4199,CA,47.75,76,75,10.36,1643405328
303,Kaniama,-7.5667,24.1833,CD,67.15,94,100,2.15,1643405522
304,Vrede,-27.4257,29.1659,ZA,58.15,94,93,13.29,1643405523
305,Ixtapa,20.7,-105.2,MX,76.23,69,20,11.5,1643405523
306,Havre-St-Pierre,50.2334,-63.5986,CA,17.96,67,75,16.11,1643405523
307,Yancheng,33.3856,120.1253,CN,32.31,69,99,5.77,1643405524
308,Yol,32.1667,76.2,IN,47.97,52,0,5.32,1643405524
309,Charters Towers,-20.1,146.2667,AU,75.47,82,66,13.4,1643405524
310,Lebu,-37.6167,-73.65,CL,64.38,77,2,5.73,1643405524
311,Limbang,4.75,115.0,MY,77.31,97,100,1.81,1643405525
312,Port Blair,11.6667,92.75,IN,80.64,83,40,4.61,1643405525
313,Vostok,46.4856,135.8833,RU,-9.63,99,100,4.29,1643405207
314,Sretensk,52.2453,117.7093,RU,-24.38,100,67,1.59,1643405525
315,Keetmanshoop,-26.5833,18.1333,NA,82.71,33,91,10.63,1643405526
316,Kruisfontein,-34.0033,24.7314,ZA,62.89,87,12,6.58,1643405526
317,Iwanai,42.9744,140.5089,JP,22.15,84,100,16.22,1643405526
318,Iquitos,-3.7481,-73.2472,PE,89.64,62,40,8.05,1643405527
319,Xining,36.6167,101.7667,CN,8.8,87,88,3.22,1643405527
320,Rocha,-34.4833,-54.3333,UY,66.15,70,8,6.82,1643405527
321,Kayerkan,69.3497,87.7602,RU,0.52,84,100,13.98,1643405528
322,Bandundu Province,-3.3167,17.3667,CD,76.35,69,99,2.68,1643405528
323,Maputo,-25.9653,32.5892,MZ,74.88,92,75,15.01,1643405528
324,Adrar,20.5022,-10.0711,MR,73.54,12,100,2.59,1643405589
325,Coyhaique,-45.5752,-72.0662,CL,83.01,18,0,9.22,1643405589
326,Alofi,-19.0595,-169.9187,NU,84.09,79,86,12.66,1643405589
327,Neiafu,-18.65,-173.9833,TO,83.01,76,62,18.99,1643405590
328,Río Gallegos,-51.6226,-69.2181,AR,69.85,43,0,17.27,1643405498
329,Brainerd,46.358,-94.2008,US,18.25,62,75,10.36,1643405590
330,Sotouboua,8.5667,0.9833,TG,77.04,19,40,2.13,1643405591
331,Petropavlovsk-Kamchatskiy,53.0452,158.6483,RU,23.59,86,75,11.18,1643405591
332,Kishtwār,33.3167,75.7667,IN,32.61,69,1,6.4,1643405591
333,Kibaya,-5.3,36.5667,TZ,60.69,95,100,1.92,1643405592
334,Hofn,64.2539,-15.2082,IS,31.8,53,52,14.03,1643405592
335,Waycross,31.2136,-82.354,US,53.83,48,0,11.5,1643405592
336,Atar,20.5169,-13.0499,MR,73.31,20,100,6.4,1643405206
337,Marabu,4.4148,114.0089,MY,75.34,100,40,3.44,1643405593
338,Cockburn Town,21.4612,-71.1419,TC,78.76,69,40,8.05,1643405593
339,Ormond Beach,29.2858,-81.0559,US,65.07,70,40,10.36,1643405519
340,Leningradskiy,69.3833,178.4167,RU,-11.7,95,79,2.1,1643405593
341,Mashivka,49.4431,34.8669,UA,31.96,92,100,11.68,1643405594
342,Nhulunbuy,-12.2333,136.7667,AU,81.21,89,100,10.36,1643405594
343,Vilhena,-12.7406,-60.1458,BR,75.42,88,75,12.66,1643405594
344,Olafsvik,64.8945,-23.7142,IS,22.77,67,71,19.71,1643405595
345,Yerbogachën,61.2767,108.0108,RU,-22.9,100,98,4.43,1643405595
346,Saint-Leu,-21.15,55.2833,RE,74.26,71,9,3.94,1643405595
347,Longyearbyen,78.2186,15.6401,SJ,6.64,78,40,17.27,1643405596
348,Sangar,63.9242,127.4739,RU,-27.58,99,100,2.95,1643405596
349,Medicine Hat,50.0501,-110.6683,CA,53.04,44,75,5.99,1643405437
350,Beyneu,45.3167,55.2,KZ,27.81,88,100,15.41,1643405596
351,Constantine,36.365,6.6147,DZ,36.81,64,0,0.0,1643405597
352,Egvekinot,66.3167,-179.1667,RU,-5.3,90,26,2.95,1643405597
353,Narsīpatnam,17.6667,82.6167,IN,67.41,85,68,3.29,1643405597
354,Lodwar,3.1191,35.5973,KE,86.76,25,25,4.41,1643405598
355,Chapais,49.7834,-74.8492,CA,-11.42,95,99,3.15,1643405598
